City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Bubaque,GW,80.13,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
6,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Akot,IN,77.22,overcast clouds,21.0964,77.0586,Shri PRASAD
37,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
48,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
55,Cabo San Lucas,MX,88.11,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Beidao,CN,79.48,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
61,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
62,Maningrida,AU,82.99,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
65,Smithers,CA,88.12,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
68,Isangel,VU,77.47,moderate rain,-19.55,169.2667,Tanna Lodge
77,Namtsy,RU,87.66,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
78,Butaritari,KI,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Kendari,ID,83.66,scattered clouds,-3.945,122.4989,Hotel Wixel
81,Barcelona,ES,78.75,broken clouds,41.3888,2.159,Axel Hotel Barcelona
85,Bull Savanna,JM,77.05,light rain,17.8868,-77.5902,Big Red's
91,Verkhnevilyuysk,RU,83.12,scattered clouds,63.4453,120.3167,Gostinitsa Mila
93,Manzanillo,CU,78.1,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
100,Hit,IQ,88.84,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
111,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
112,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
114,Pangkalanbuun,ID,80.6,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
117,Chippewa Falls,US,77.18,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
120,Hami,CN,89.65,clear sky,42.8,93.45,Laoyutang Resort
122,Lixourion,GR,78.96,clear sky,38.2019,20.4314,Hotel Summery
128,Kavieng,PG,84.85,light rain,-2.5744,150.7967,Nusa Island Retreat
129,Harper,LR,75.22,overcast clouds,4.375,-7.7169,Screensaver
132,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
136,Jalu,LY,79.86,clear sky,29.0331,21.5482,صاحبة الفخامة
137,Estelle,US,86.0,broken clouds,29.8458,-90.1067,Ohio
140,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
143,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
144,Sheridan,US,80.98,clear sky,44.8333,-106.9173,Comfort Inn & Suites
146,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
152,Mitsamiouli,KM,75.54,scattered clouds,-11.3847,43.2844,Foyer ADM
153,Westport,US,77.43,clear sky,41.1415,-73.3579,The Westport Inn
155,Kampot,KH,82.45,scattered clouds,10.6167,104.1833,Two Moons Hotel
157,Iberia,US,80.98,few clouds,29.9502,-91.7507,back to back rv park
159,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
160,Palmer,US,75.06,broken clouds,42.1584,-72.3287,Wedgewood Motel
162,Honiara,SB,86.88,overcast clouds,-9.4333,159.95,Heritage Park Hotel
163,Kombissiri,BF,76.98,broken clouds,12.0656,-1.3375,Mitibkieta Annexe
167,Celestun,MX,82.09,overcast clouds,20.8667,-90.4,Posada Lilia
177,Lorengau,PG,84.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
183,Umm Lajj,SA,84.81,broken clouds,25.0213,37.2685,Moon light Furnished Units
187,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
188,Bafq,IR,83.98,broken clouds,31.6128,55.4107,Alamdar Hotel
190,Diffa,NE,78.48,overcast clouds,13.3154,12.6113,ProDAF/Diffa
191,Ipixuna,BR,77.13,overcast clouds,-1.7625,-48.8043,Chalé do Mato
192,Sattenapalle,IN,81.32,overcast clouds,16.4,80.1833,Subhani hot hot tiffen ceanter
194,Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
195,Tezu,IN,77.14,overcast clouds,27.9167,96.1667,Circuit House
202,Katsuura,JP,84.22,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
204,Iralaya,HN,79.56,clear sky,15.0,-83.2333,Iglesia morava renovada
205,San Jose,US,85.59,smoke,37.3394,-121.895,The Westin San Jose
207,San Patricio,US,87.75,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
213,Athabasca,CA,78.15,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
214,Bethel,US,76.17,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
216,Radhanpur,IN,81.41,overcast clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
219,Marsh Harbour,BS,82.18,broken clouds,26.5412,-77.0636,Abaco Beach Resort
222,Dingle,PH,86.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
226,Saint Anthony,US,75.65,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
227,Guilin,CN,86.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
231,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
232,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
233,Emporia,US,86.2,clear sky,38.4039,-96.1817,Days Inn by Wyndham Emporia
235,Erzin,TR,75.56,clear sky,36.9559,36.2,Artemis Otel
241,Kavaratti,IN,78.19,overcast clouds,10.5669,72.642,Green leaf
243,Elmont,US,80.08,broken clouds,40.7009,-73.7129,Parkway Motor Inn
247,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
250,Bay City,US,77.32,scattered clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
257,Coahuayana,MX,79.59,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
262,Bikin,RU,86.61,few clouds,46.8161,134.26,Azhur
264,Sohag,EG,83.84,clear sky,26.557,31.6948,Civil Registry - Sohag 1
266,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
268,Nizwa,OM,76.17,overcast clouds,22.9333,57.5333,Orient Apartments
271,Vieques,PR,80.1,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
276,Kemin,KG,77.22,scattered clouds,42.7846,75.6892,Hotel Kok-Oirok
277,Pochutla,MX,80.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
281,Puerto Cabezas,NI,77.79,clear sky,14.0351,-83.3888,Cabaña Caribe
285,Jonesboro,US,89.37,clear sky,35.8423,-90.7043,Hilton Garden Inn Jonesboro
290,Kazerun,IR,79.54,overcast clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
292,Alamogordo,US,87.15,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
294,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
296,Torrejon De Ardoz,ES,83.3,clear sky,40.4553,-3.4697,Hotel Asset Torrejón
299,Tagusao,PH,85.05,overcast clouds,9.1924,117.8141,Caycay future beach resort
308,Portoferraio,IT,80.96,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
310,Lotofaga,WS,85.78,clear sky,-13.9764,-171.8578,Sataoa Beach Fales
311,Kirakira,SB,84.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
313,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
315,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
317,Stratonion,GR,76.21,clear sky,40.5141,23.8247,Πανσιόν Καρβουνόσκαλα (Pension Karvounoskala)
318,Dwarka,IN,81.88,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
319,Beirut,LB,83.37,few clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
322,Vitim,RU,77.76,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
323,Sokoni,TZ,75.02,light rain,-6.4333,39.55,Ujamaa Beach Resort
331,Tautira,PF,76.98,light rain,-17.7333,-149.15,Pension Oaoa
335,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
337,Bengkulu,ID,81.18,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
339,Acarau,BR,79.07,overcast clouds,-2.8856,-40.12,castelo pizzaria
342,Bayan,CN,84.02,overcast clouds,46.0833,127.4,Wanhao Inn
346,Saint George,US,81.19,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
348,Khandyga,RU,83.21,clear sky,62.6667,135.6,Apel'sin
349,Luganville,VU,82.27,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
351,Manicaragua,CU,79.93,overcast clouds,22.1494,-79.9736,Hostal Las V
355,Nishihara,JP,85.68,haze,26.1842,127.7558,Minshuku Agaihama
356,Takoradi,GH,75.42,overcast clouds,4.8845,-1.7554,Raybow International Hotel
359,Mackenzie,CA,89.82,clear sky,55.2999,-123.1698,Hilton Shop
360,Lexington,US,79.92,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
361,Totness,SR,77.63,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
367,Broome,US,75.88,broken clouds,42.2506,-75.833,Chenango Valley State Park
372,Ugoofaaru,MV,81.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
377,Yangjiang,CN,86.99,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
379,Kampong Thum,KH,84.34,few clouds,12.7111,104.8887,Sambor Village Hotel
380,Teacapan,MX,82.72,overcast clouds,22.55,-105.75,Hotel los Mangos
386,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
387,Meulaboh,ID,78.89,overcast clouds,4.1363,96.1285,Kost Pria
393,Basco,PH,85.39,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
