City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,87.28,77,75,10.36,broken clouds
1,Basoko,CD,1.2391,23.616,72.3,93,100,2.84,light rain
2,Bubaque,GW,11.2833,-15.8333,80.13,77,100,9.82,overcast clouds
3,Hervey Bay,AU,-25.2986,152.8535,63.5,62,0,9.66,clear sky
4,Sorland,NO,67.667,12.6934,49.86,79,14,13.09,few clouds
5,Lasa,IT,46.6166,10.7002,58.37,91,87,1.7,overcast clouds
6,Kapaa,US,22.0752,-159.319,85.98,64,40,16.11,scattered clouds
7,Victoria,HK,22.2855,114.1577,90.25,79,0,4.0,clear sky
8,Hermanus,ZA,-34.4187,19.2345,52.23,83,0,12.39,clear sky
9,Omsukchan,RU,62.5333,155.8,58.39,39,61,6.4,broken clouds
10,Serta,PT,39.8085,-8.0988,61.95,75,0,6.33,clear sky
11,Ushuaia,AR,-54.8,-68.3,40.66,87,75,20.71,moderate rain
12,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,75,13.8,broken clouds
13,Bluff,NZ,-46.6,168.3333,47.8,87,100,12.75,overcast clouds
14,Vila,PT,42.0304,-8.1588,54.7,79,0,1.14,clear sky
15,Mataura,NZ,-46.1927,168.8643,47.48,99,100,3.02,overcast clouds
16,Tasiilaq,GL,65.6145,-37.6368,39.36,96,82,9.33,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,60.39,74,0,5.01,clear sky
18,Yellowknife,CA,62.456,-114.3525,66.72,68,75,11.5,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,73.99,69,100,15.61,overcast clouds
20,Hithadhoo,MV,-0.6,73.0833,82.35,73,100,12.21,overcast clouds
21,Lompoc,US,34.6391,-120.4579,70.84,77,20,13.8,few clouds
22,Barrow,US,71.2906,-156.7887,33.82,100,100,17.27,mist
23,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,0,10.36,clear sky
24,Akot,IN,21.0964,77.0586,77.22,88,100,3.78,overcast clouds
25,Camacupa,AO,-12.0167,17.4833,53.15,35,100,3.47,overcast clouds
26,Pisco,PE,-13.7,-76.2167,62.65,82,20,2.3,few clouds
27,Albany,US,42.6001,-73.9662,73.81,70,100,1.61,overcast clouds
28,Busselton,AU,-33.65,115.3333,58.19,70,61,10.87,broken clouds
29,Necochea,AR,-38.5473,-58.7368,49.86,97,100,10.78,light rain
30,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,19,7.27,light rain
31,San Vicente,AR,-26.6167,-54.1333,62.04,75,61,2.19,broken clouds
32,Orocue,CO,4.7912,-71.3354,73.45,93,99,4.65,overcast clouds
33,Lata,PT,40.1629,-8.3327,55.24,92,0,2.37,clear sky
34,Mount Isa,AU,-20.7333,139.5,71.37,26,0,12.66,clear sky
35,Kodiak,US,57.79,-152.4072,63.91,48,0,12.66,clear sky
36,Constitucion,CL,-35.3333,-72.4167,49.12,80,7,3.04,clear sky
37,Avarua,CK,-21.2078,-159.775,77.05,69,75,20.71,broken clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,51.1,58,100,17.0,overcast clouds
39,Ribeira Grande,PT,38.5167,-28.7,73.0,86,36,11.07,scattered clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,100,7.0,overcast clouds
41,Edd,ER,13.9297,41.6925,90.1,68,97,2.35,overcast clouds
42,Vardo,NO,70.3705,31.1107,53.58,94,75,4.61,broken clouds
43,Luderitz,NA,-26.6481,15.1594,55.06,74,0,2.3,clear sky
44,Hobart,AU,-42.8794,147.3294,53.06,63,20,8.05,few clouds
45,Brejning,DK,55.6613,9.677,49.98,87,1,8.55,clear sky
46,Kaeo,NZ,-35.1,173.7833,63.32,85,57,17.47,broken clouds
47,Torbay,CA,47.6666,-52.7314,64.38,87,20,9.22,few clouds
48,Oistins,BB,13.0667,-59.5333,80.69,78,40,18.41,scattered clouds
49,Oktyabrskiy,RU,54.4815,53.471,62.19,88,66,3.96,broken clouds
50,Port Alfred,ZA,-33.5906,26.891,62.53,81,88,14.67,overcast clouds
51,Lebu,CL,-37.6167,-73.65,48.69,86,8,6.33,clear sky
52,Cianorte,BR,-23.6633,-52.605,64.72,63,39,3.24,scattered clouds
53,Port Macquarie,AU,-31.4333,152.9167,63.9,47,0,5.59,clear sky
54,Palana,RU,59.1167,159.9667,51.78,89,89,9.13,light rain
55,Cabo San Lucas,MX,22.8909,-109.9124,88.11,51,20,14.97,few clouds
56,Pevek,RU,69.7008,170.3133,36.18,87,96,4.56,overcast clouds
57,Lodja,CD,-3.4833,23.4333,70.18,86,44,1.36,scattered clouds
58,Coquimbo,CL,-29.9533,-71.3436,55.62,86,100,5.88,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,60.15,35,97,13.87,overcast clouds
60,Beidao,CN,34.5686,105.8933,79.48,49,0,1.07,clear sky
61,Cayenne,GF,4.9333,-52.3333,76.08,1,0,0.0,clear sky
62,Maningrida,AU,-12.0667,134.2667,82.99,46,35,11.59,scattered clouds
